term,estimate,std.error,statistic,p.value,odds_ratio,or_lower,or_upper,model
(Intercept),0.7474093283782155,0.015474581273772027,48.29916332825139,7.188085476244127e-8,2.1115226628223067,2.048441272552724,2.1765466334585626,Delivery Type GLM
time,-0.043966218013977425,0.010605960860597561,-4.145425255840542,0.008949737401496613,0.9569862858243171,0.9372981028401232,0.9770880240563501,Delivery Type GLM
I(time^2),-0.0034354059710907377,0.0014970649189590915,-2.2947608534433988,0.07023041604661555,0.9965704882843504,0.9936505900251662,0.9994989668291295,Delivery Type GLM
