financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
2011/12,3,25-34,6219,2011,14,4978,877,342,6197,0.05518799419073745,0.8032919154429563,0.14152009036630628,342,5855
2011/12,3,35 and over,2244,2011,14,1692,395,151,2238,0.06747095621090259,0.7560321715817694,0.17649687220732796,151,2087
2011/12,3,Under 25,2265,2011,14,1809,251,204,2264,0.09010600706713781,0.7990282685512368,0.11086572438162544,204,2060
2011/12,4,25-34,5798,2011,14,4671,831,284,5786,0.04908399585205669,0.8072934669892845,0.14362253715865883,284,5502
2011/12,4,35 and over,2478,2011,14,1949,376,149,2474,0.06022635408245756,0.7877930476960388,0.15198059822150364,149,2325
2011/12,4,Under 25,1477,2011,14,1207,149,118,1474,0.08005427408412483,0.8188602442333786,0.1010854816824966,118,1356
2011/12,5,25-34,5016,2011,14,4078,674,259,5011,0.05168629016164438,0.8138096188385552,0.13450409099980043,259,4752
2011/12,5,35 and over,2716,2011,14,2120,464,124,2708,0.04579025110782865,0.7828655834564254,0.17134416543574593,124,2584
2011/12,5,Under 25,813,2011,14,653,90,69,812,0.08497536945812807,0.8041871921182266,0.11083743842364532,69,743
2012/13,1,25-34,7979,2012,15,6178,1107,664,7949,0.08353251981381306,0.7772046798339414,0.13926280035224556,664,7285
2012/13,1,35 and over,1756,2012,15,1262,287,197,1746,0.11282932416953036,0.722794959908362,0.16437571592210767,197,1549
2012/13,1,Under 25,5045,2012,15,4116,408,499,5023,0.0993430220983476,0.8194306191519013,0.08122635874975115,499,4524
2012/13,2,25-34,6641,2012,15,5364,830,429,6623,0.0647742714781821,0.809904876943983,0.12532085157783482,429,6194
2012/13,2,35 and over,1769,2012,15,1412,236,113,1761,0.06416808631459398,0.8018171493469619,0.13401476433844406,113,1648
2012/13,2,Under 25,3336,2012,15,2733,281,315,3329,0.09462300991288675,0.820967257434665,0.08440973265244818,315,3014
2012/13,3,25-34,6163,2012,15,4905,861,380,6146,0.06182883176049463,0.7980800520663847,0.14009111617312073,380,5766
2012/13,3,35 and over,2033,2012,15,1581,351,91,2023,0.04498269896193772,0.7815126050420168,0.17350469599604548,91,1932
2012/13,3,Under 25,2149,2012,15,1796,161,186,2143,0.0867942137190854,0.8380774615025665,0.0751283247783481,186,1957
2012/13,4,25-34,5554,2012,15,4490,743,309,5542,0.05575604474918802,0.8101768314687838,0.13406712378202815,309,5233
2012/13,4,35 and over,2312,2012,15,1811,400,97,2308,0.042027729636048526,0.7846620450606586,0.1733102253032929,97,2211
2012/13,4,Under 25,1473,2012,15,1209,170,87,1466,0.059345156889495224,0.8246930422919508,0.11596180081855388,87,1379
2012/13,5,25-34,4952,2012,15,4011,662,270,4943,0.05462269876593162,0.8114505361116731,0.13392676512239532,270,4673
2012/13,5,35 and over,2570,2012,15,2050,406,109,2565,0.04249512670565302,0.7992202729044834,0.15828460038986356,109,2456
2012/13,5,Under 25,764,2012,15,657,65,35,757,0.046235138705416116,0.8678996036988111,0.08586525759577279,35,722
2013/14,1,25-34,7371,2013,16,5877,877,578,7332,0.07883251500272777,0.8015548281505729,0.1196126568466994,578,6754
2013/14,1,35 and over,1636,2013,16,1298,228,105,1631,0.06437768240343347,0.7958307786633967,0.13979153893316984,105,1526
2013/14,1,Under 25,4776,2013,16,3907,438,413,4758,0.08680117696511139,0.8211433375367801,0.09205548549810845,413,4345
2013/14,2,25-34,6393,2013,16,5101,862,404,6367,0.06345217527878122,0.8011622428145123,0.13538558190670646,404,5963
2013/14,2,35 and over,1771,2013,16,1323,288,149,1760,0.0846590909090909,0.7517045454545455,0.16363636363636364,149,1611
2013/14,2,Under 25,3059,2013,16,2489,266,284,3039,0.09345179335307667,0.8190194142810134,0.08752879236590984,284,2755
2013/14,3,25-34,6240,2013,16,4932,936,349,6217,0.05613640019301914,0.7933086697764195,0.15055493003056136,349,5868
2013/14,3,35 and over,2037,2013,16,1581,303,141,2025,0.06962962962962962,0.7807407407407407,0.14962962962962964,141,1884
2013/14,3,Under 25,2010,2013,16,1637,202,161,2000,0.0805,0.8185,0.101,161,1839
2013/14,4,25-34,5848,2013,16,4673,892,265,5830,0.045454545454545456,0.8015437392795883,0.1530017152658662,265,5565
2013/14,4,35 and over,2379,2013,16,1867,372,139,2378,0.058452481076534904,0.7851135407905803,0.1564339781328848,139,2239
2013/14,4,Under 25,1336,2013,16,1106,134,87,1327,0.06556141672946496,0.8334589299171062,0.10097965335342879,87,1240
2013/14,5,25-34,5273,2013,16,4295,681,269,5245,0.051286939942802666,0.8188751191611058,0.12983794089609152,269,4976
2013/14,5,35 and over,2645,2013,16,2106,428,103,2637,0.03905953735305271,0.7986348122866894,0.16230565036025787,103,2534
2013/14,5,Under 25,665,2013,16,558,74,32,664,0.04819277108433735,0.8403614457831325,0.11144578313253012,32,632
2014/15,1,25-34,7446,2014,17,5975,926,499,7400,0.06743243243243244,0.8074324324324325,0.12513513513513513,499,6901
2014/15,1,35 and over,1666,2014,17,1296,210,146,1652,0.08837772397094432,0.784503631961259,0.1271186440677966,146,1506
2014/15,1,Under 25,4642,2014,17,3732,458,380,4570,0.08315098468271334,0.8166301969365427,0.10021881838074398,380,4190
2014/15,2,25-34,6464,2014,17,5092,934,390,6416,0.060785536159601,0.793640897755611,0.14557356608478803,390,6026
2014/15,2,35 and over,1829,2014,17,1465,246,105,1816,0.05781938325991189,0.8067180616740088,0.1354625550660793,105,1711
2014/15,2,Under 25,2972,2014,17,2414,300,239,2953,0.08093464273620048,0.8174737555028784,0.1015916017609211,239,2714
2014/15,3,25-34,5949,2014,17,4758,853,304,5915,0.05139475908706678,0.8043956043956044,0.14420963651732882,304,5611
2014/15,3,35 and over,1944,2014,17,1493,307,129,1929,0.06687402799377916,0.773976153447382,0.15914981855883878,129,1800
2014/15,3,Under 25,1889,2014,17,1508,210,150,1868,0.08029978586723768,0.8072805139186295,0.11241970021413276,150,1718
2014/15,4,25-34,6131,2014,17,4934,863,291,6088,0.047798948751642575,0.8104467805519053,0.14175427069645205,291,5797
2014/15,4,35 and over,2360,2014,17,1827,407,115,2349,0.04895700297999148,0.7777777777777778,0.17326521924223073,115,2234
2014/15,4,Under 25,1261,2014,17,1037,128,89,1254,0.07097288676236045,0.8269537480063796,0.10207336523125997,89,1165
2014/15,5,25-34,5681,2014,17,4631,749,265,5645,0.046944198405668734,0.8203720106288751,0.13268379096545616,265,5380
2014/15,5,35 and over,2883,2014,17,2274,475,119,2868,0.04149232914923291,0.7928870292887029,0.16562064156206416,119,2749
2014/15,5,Under 25,577,2014,17,474,75,25,574,0.04355400696864112,0.8257839721254355,0.13066202090592335,25,549
2015/16,1,25-34,7285,2015,18,5768,932,522,7222,0.07227914705067848,0.7986707283301024,0.12905012461921905,522,6700
2015/16,1,35 and over,1816,2015,18,1417,256,123,1796,0.06848552338530067,0.7889755011135857,0.14253897550111358,123,1673
2015/16,1,Under 25,4271,2015,18,3423,455,357,4235,0.08429752066115702,0.8082644628099174,0.10743801652892562,357,3878
2015/16,2,25-34,6855,2015,18,5533,916,364,6813,0.05342727139292529,0.8121238808160869,0.1344488477909878,364,6449
2015/16,2,35 and over,1762,2015,18,1340,288,122,1750,0.06971428571428571,0.7657142857142857,0.16457142857142856,122,1628
2015/16,2,Under 25,2874,2015,18,2381,283,193,2857,0.06755337766888345,0.8333916695834792,0.09905495274763738,193,2664
2015/16,3,25-34,5652,2015,18,4537,800,280,5617,0.04984867366921844,0.8077265444187288,0.14242478191205268,280,5337
2015/16,3,35 and over,1958,2015,18,1545,311,90,1946,0.046248715313463515,0.7939362795477903,0.15981500513874614,90,1856
2015/16,3,Under 25,1727,2015,18,1404,171,135,1710,0.07894736842105263,0.8210526315789474,0.1,135,1575
2015/16,4,25-34,5874,2015,18,4705,882,258,5845,0.04414029084687767,0.804961505560308,0.15089820359281436,258,5587
2015/16,4,35 and over,2457,2015,18,1934,408,104,2446,0.04251839738348324,0.7906786590351594,0.1668029435813573,104,2342
2015/16,4,Under 25,1204,2015,18,965,116,116,1197,0.09690893901420217,0.8061821219715957,0.09690893901420217,116,1081
2015/16,5,25-34,5604,2015,18,4539,809,223,5571,0.04002872015796087,0.8147549811523963,0.14521629868964278,223,5348
2015/16,5,35 and over,2873,2015,18,2310,432,125,2867,0.04359958144401814,0.8057202650854551,0.15068015347052668,125,2742
2015/16,5,Under 25,614,2015,18,494,68,47,609,0.07717569786535304,0.8111658456486043,0.1116584564860427,47,562
2016/17,1,25-34,7393,2016,19,5869,864,538,7271,0.07399257323614358,0.807179205061202,0.11882822170265438,538,6733
2016/17,1,35 and over,1805,2016,19,1387,259,122,1768,0.06900452488687783,0.7845022624434389,0.14649321266968326,122,1646
2016/17,1,Under 25,4111,2016,19,3360,345,322,4027,0.0799602681897194,0.8343680158927241,0.0856717159175565,322,3705
2016/17,2,25-34,6499,2016,19,5192,876,375,6443,0.058202700605308084,0.8058357907806922,0.1359615086139997,375,6068
2016/17,2,35 and over,1883,2016,19,1454,287,105,1846,0.056879739978331526,0.7876489707475623,0.15547128927410617,105,1741
2016/17,2,Under 25,2542,2016,19,2071,234,203,2508,0.08094098883572567,0.8257575757575758,0.09330143540669857,203,2305
2016/17,3,25-34,5905,2016,19,4658,939,254,5851,0.04341138266962912,0.7961032302170569,0.16048538711331398,254,5597
2016/17,3,35 and over,2015,2016,19,1569,325,94,1988,0.047283702213279676,0.7892354124748491,0.16348088531187122,94,1894
2016/17,3,Under 25,1655,2016,19,1359,191,86,1636,0.05256723716381418,0.8306845965770171,0.1167481662591687,86,1550
2016/17,4,25-34,5987,2016,19,4704,990,244,5938,0.04109127652408218,0.7921859211855844,0.16672280229033345,244,5694
2016/17,4,35 and over,2547,2016,19,1985,425,106,2516,0.04213036565977742,0.7889507154213037,0.16891891891891891,106,2410
2016/17,4,Under 25,1064,2016,19,849,141,66,1056,0.0625,0.8039772727272727,0.13352272727272727,66,990
2016/17,5,25-34,5308,2016,19,4192,828,245,5265,0.04653371320037987,0.7962013295346628,0.15726495726495726,245,5020
2016/17,5,35 and over,2895,2016,19,2305,451,120,2876,0.04172461752433936,0.8014603616133519,0.15681502086230875,120,2756
2016/17,5,Under 25,581,2016,19,470,62,43,575,0.07478260869565218,0.8173913043478261,0.10782608695652174,43,532
2017/18,1,25-34,6932,2017,20,5384,926,484,6794,0.07123932881954666,0.7924639387695025,0.13629673241095083,484,6310
2017/18,1,35 and over,1854,2017,20,1408,277,130,1815,0.07162534435261708,0.7757575757575758,0.15261707988980716,130,1685
2017/18,1,Under 25,3865,2017,20,3158,347,303,3808,0.07956932773109243,0.8293067226890757,0.09112394957983193,303,3505
2017/18,2,25-34,6327,2017,20,4997,907,348,6252,0.05566218809980806,0.7992642354446577,0.14507357645553423,348,5904
2017/18,2,35 and over,1860,2017,20,1460,265,112,1837,0.06096897114861187,0.7947740881872618,0.14425694066412628,112,1725
2017/18,2,Under 25,2480,2017,20,2028,241,175,2444,0.0716039279869067,0.8297872340425532,0.0986088379705401,175,2269
2017/18,3,25-34,5594,2017,20,4481,766,276,5523,0.049972840847365564,0.8113344196994388,0.13869273945319574,276,5247
2017/18,3,35 and over,1974,2017,20,1505,359,79,1943,0.040658775090066906,0.7745753988677303,0.1847658260422028,79,1864
2017/18,3,Under 25,1467,2017,20,1174,177,105,1456,0.07211538461538461,0.8063186813186813,0.12156593406593406,105,1351
2017/18,4,25-34,6037,2017,20,4821,905,254,5980,0.04247491638795987,0.8061872909698997,0.15133779264214048,254,5726
2017/18,4,35 and over,2537,2017,20,1956,427,139,2522,0.055114988104678825,0.7755749405233942,0.16931007137192705,139,2383
2017/18,4,Under 25,962,2017,20,801,91,56,948,0.05907172995780591,0.8449367088607594,0.09599156118143459,56,892
2017/18,5,25-34,5052,2017,20,4102,714,192,5008,0.038338658146964855,0.8190894568690096,0.14257188498402557,192,4816
2017/18,5,35 and over,2914,2017,20,2306,468,119,2893,0.04113377117179399,0.7970964396819911,0.161769789146215,119,2774
2017/18,5,Under 25,470,2017,20,388,58,22,468,0.04700854700854701,0.8290598290598291,0.12393162393162394,22,446
2018/19,1,25-34,6887,2018,21,5465,941,457,6863,0.06658895526737578,0.7962989946087716,0.13711205012385255,457,6406
2018/19,1,35 and over,1843,2018,21,1431,280,127,1838,0.0690968443960827,0.778563656147987,0.15233949945593037,127,1711
2018/19,1,Under 25,3367,2018,21,2856,296,202,3354,0.06022659511031604,0.851520572450805,0.08825283243887895,202,3152
2018/19,2,25-34,6216,2018,21,5040,856,289,6185,0.04672594987873888,0.814874696847211,0.13839935327405012,289,5896
2018/19,2,35 and over,1877,2018,21,1443,308,121,1872,0.06463675213675214,0.7708333333333334,0.16452991452991453,121,1751
2018/19,2,Under 25,2369,2018,21,1982,232,142,2356,0.06027164685908319,0.8412563667232598,0.09847198641765705,142,2214
2018/19,3,25-34,5450,2018,21,4405,806,223,5434,0.04103790945896209,0.8106367316893632,0.14832535885167464,223,5211
2018/19,3,35 and over,1970,2018,21,1581,297,85,1963,0.043301069791136015,0.8053998981151299,0.15129903209373408,85,1878
2018/19,3,Under 25,1392,2018,21,1188,125,70,1383,0.05061460592913955,0.8590021691973969,0.09038322487346348,70,1313
2018/19,4,25-34,6041,2018,21,4862,935,236,6033,0.03911818332504558,0.8059008785015747,0.15498093817337974,236,5797
2018/19,4,35 and over,2623,2018,21,2036,464,113,2613,0.04324531190202832,0.7791810179869881,0.17757367011098354,113,2500
2018/19,4,Under 25,904,2018,21,727,124,49,900,0.05444444444444444,0.8077777777777778,0.13777777777777778,49,851
2018/19,5,25-34,5022,2018,21,4086,750,174,5010,0.03473053892215569,0.8155688622754491,0.1497005988023952,174,4836
2018/19,5,35 and over,2904,2018,21,2341,466,87,2894,0.030062197650310988,0.808914996544575,0.16102280580511402,87,2807
2018/19,5,Under 25,502,2018,21,433,45,24,502,0.04780876494023904,0.8625498007968128,0.08964143426294821,24,478
2019/20,1,25-34,6501,2019,22,5269,819,401,6489,0.06179688703960549,0.8119895207273848,0.1262135922330097,401,6088
2019/20,1,35 and over,1833,2019,22,1436,264,119,1819,0.06542056074766354,0.7894447498625619,0.1451346893897746,119,1700
2019/20,1,Under 25,3254,2019,22,2721,294,225,3240,0.06944444444444445,0.8398148148148148,0.09074074074074075,225,3015
2019/20,2,25-34,6165,2019,22,5033,776,344,6153,0.05590768730700471,0.8179749715585893,0.12611734113440598,344,5809
2019/20,2,35 and over,1961,2019,22,1582,293,78,1953,0.039938556067588324,0.8100358422939068,0.15002560163850487,78,1875
2019/20,2,Under 25,2128,2019,22,1747,241,132,2120,0.062264150943396226,0.8240566037735849,0.11367924528301887,132,1988
2019/20,3,25-34,5321,2019,22,4247,813,253,5313,0.047619047619047616,0.7993600602296255,0.15302089215132694,253,5060
2019/20,3,35 and over,1921,2019,22,1525,315,77,1917,0.040166927490871154,0.7955138236828377,0.1643192488262911,77,1840
2019/20,3,Under 25,1281,2019,22,1070,146,62,1278,0.048513302034428794,0.837245696400626,0.11424100156494522,62,1216
2019/20,4,25-34,5651,2019,22,4502,914,230,5646,0.04073680481756996,0.7973786751682607,0.16188452001416934,230,5416
2019/20,4,35 and over,2456,2019,22,1905,425,118,2448,0.04820261437908497,0.7781862745098039,0.1736111111111111,118,2330
2019/20,4,Under 25,878,2019,22,727,100,50,877,0.05701254275940707,0.8289623717217788,0.11402508551881414,50,827
2019/20,5,25-34,4644,2019,22,3782,686,168,4636,0.0362381363244176,0.8157894736842105,0.14797238999137188,168,4468
2019/20,5,35 and over,2722,2019,22,2149,471,94,2714,0.034635224760501106,0.7918201915991157,0.1735445836403832,94,2620
2019/20,5,Under 25,385,2019,22,319,48,18,385,0.046753246753246755,0.8285714285714286,0.12467532467532468,18,367
2020/21,1,25-34,6241,2020,23,4987,877,366,6230,0.058747993579454254,0.8004815409309791,0.14077046548956662,366,5864
2020/21,1,35 and over,1749,2020,23,1395,242,106,1743,0.060814687320711415,0.8003442340791739,0.13884107860011474,106,1637
2020/21,1,Under 25,2853,2020,23,2329,317,203,2849,0.07125307125307126,0.8174798174798175,0.11126711126711127,203,2646
2020/21,2,25-34,5540,2020,23,4384,875,270,5529,0.048833423765599564,0.7929101103273648,0.15825646590703563,270,5259
2020/21,2,35 and over,1756,2020,23,1377,286,90,1753,0.0513405590416429,0.7855105533371364,0.16314888762122076,90,1663
2020/21,2,Under 25,1887,2020,23,1534,229,119,1882,0.06323060573857599,0.8150903294367694,0.12167906482465463,119,1763
2020/21,2,Unknown,1,2020,23,1,0,0,1,0,1,0,0,1
2020/21,3,25-34,5077,2020,23,4049,775,243,5067,0.047957371225577264,0.7990921649891455,0.1529504637852773,243,4824
2020/21,3,35 and over,1887,2020,23,1458,356,66,1880,0.035106382978723406,0.7755319148936171,0.18936170212765957,66,1814
2020/21,3,Under 25,1102,2020,23,887,137,74,1098,0.06739526411657559,0.807832422586521,0.12477231329690346,74,1024
2020/21,4,25-34,5731,2020,23,4619,881,225,5725,0.039301310043668124,0.8068122270742358,0.15388646288209606,225,5500
2020/21,4,35 and over,2453,2020,23,1949,410,86,2445,0.03517382413087935,0.7971370143149284,0.16768916155419222,86,2359
2020/21,4,Under 25,721,2020,23,580,98,42,720,0.058333333333333334,0.8055555555555556,0.1361111111111111,42,678
2020/21,5,25-34,4572,2020,23,3656,724,187,4567,0.04094591635647033,0.800525509086928,0.15852857455660171,187,4380
2020/21,5,35 and over,2471,2020,23,1958,441,68,2467,0.027563842723956223,0.7936765301986218,0.17875962707742196,68,2399
2020/21,5,Under 25,366,2020,23,300,51,14,365,0.038356164383561646,0.821917808219178,0.13972602739726028,14,351
2020/21,5,Unknown,1,2020,23,0,1,0,1,0,0,1,0,1
2021/22,1,25-34,6314,2021,24,5036,882,388,6306,0.06152870282270853,0.79860450364732,0.13986679352997144,388,5918
2021/22,1,35 and over,1831,2021,24,1456,260,109,1825,0.059726027397260274,0.7978082191780822,0.14246575342465753,109,1716
2021/22,1,Under 25,2701,2021,24,2246,281,170,2697,0.06303299962921764,0.8327771598071931,0.10418984056358917,170,2527
2021/22,2,25-34,5969,2021,24,4806,870,282,5958,0.0473313192346425,0.8066465256797583,0.14602215508559918,282,5676
2021/22,2,35 and over,1894,2021,24,1476,300,106,1882,0.0563230605738576,0.7842720510095643,0.1594048884165781,106,1776
2021/22,2,Under 25,1826,2021,24,1455,245,126,1826,0.06900328587075576,0.7968236582694413,0.13417305585980285,126,1700
2021/22,3,25-34,5274,2021,24,4222,826,209,5257,0.03975651512269355,0.8031196499904889,0.15712383488681758,209,5048
2021/22,3,35 and over,2050,2021,24,1608,364,69,2041,0.033806957373836356,0.7878490935815776,0.17834394904458598,69,1972
2021/22,3,Under 25,1052,2021,24,845,152,53,1050,0.05047619047619047,0.8047619047619048,0.14476190476190476,53,997
2021/22,4,25-34,6026,2021,24,4773,996,250,6019,0.04153513872736335,0.792988868582821,0.16547599268981558,250,5769
2021/22,4,35 and over,2670,2021,24,2064,495,104,2663,0.03905369883589936,0.7750657153586181,0.18588058580548253,104,2559
2021/22,4,Under 25,714,2021,24,568,96,46,710,0.0647887323943662,0.8,0.1352112676056338,46,664
2021/22,5,25-34,4861,2021,24,3866,792,197,4855,0.040576725025746656,0.7962924819773429,0.1631307929969104,197,4658
2021/22,5,35 and over,2924,2021,24,2330,511,79,2920,0.027054794520547945,0.797945205479452,0.175,79,2841
2021/22,5,Under 25,316,2021,24,247,46,23,316,0.07278481012658228,0.7816455696202531,0.14556962025316456,23,293
2022/23,1,25-34,6241,2022,25,5103,756,365,6224,0.0586439588688946,0.8198907455012854,0.12146529562982006,365,5859
2022/23,1,35 and over,1925,2022,25,1496,296,132,1924,0.06860706860706861,0.7775467775467776,0.15384615384615385,132,1792
2022/23,1,Under 25,2590,2022,25,2165,226,192,2583,0.0743321718931475,0.8381726674409601,0.08749516066589237,192,2391
2022/23,2,25-34,5577,2022,25,4514,801,258,5573,0.046294634846581736,0.8099766732460075,0.14372869190741072,258,5315
2022/23,2,35 and over,1735,2022,25,1361,264,104,1729,0.06015037593984962,0.7871602082128398,0.15268941584731058,104,1625
2022/23,2,Under 25,1601,2022,25,1312,172,111,1595,0.06959247648902821,0.8225705329153605,0.10783699059561129,111,1484
2022/23,3,25-34,5100,2022,25,4144,707,241,5092,0.04732914375490966,0.8138256087981147,0.13884524744697566,241,4851
2022/23,3,35 and over,2069,2022,25,1682,314,70,2066,0.03388189738625363,0.814133591481123,0.15198451113262343,70,1996
2022/23,3,Under 25,1011,2022,25,862,99,49,1010,0.048514851485148516,0.8534653465346534,0.09801980198019802,49,961
2022/23,4,25-34,5628,2022,25,4574,835,213,5622,0.037886872998932765,0.8135894699395233,0.14852365706154394,213,5409
2022/23,4,35 and over,2512,2022,25,1962,429,114,2505,0.045508982035928146,0.7832335329341318,0.17125748502994012,114,2391
2022/23,4,Under 25,709,2022,25,578,74,57,709,0.08039492242595205,0.8152327221438646,0.10437235543018336,57,652
2022/23,5,25-34,4252,2022,25,3467,625,147,4239,0.03467799009200283,0.8178815758433593,0.1474404340646379,147,4092
2022/23,5,35 and over,2502,2022,25,2003,421,76,2500,0.0304,0.8012,0.1684,76,2424
2022/23,5,Under 25,328,2022,25,260,50,17,327,0.05198776758409786,0.7951070336391437,0.1529051987767584,17,310
2023/24,1,25-34,6205,2023,26,5060,753,379,6192,0.061208010335917315,0.8171834625322998,0.12160852713178294,379,5813
2023/24,1,35 and over,1933,2023,26,1524,274,134,1932,0.06935817805383022,0.7888198757763976,0.14182194616977226,134,1798
2023/24,1,Under 25,2559,2023,26,2151,247,154,2552,0.0603448275862069,0.8428683385579937,0.09678683385579938,154,2398
2023/24,2,25-34,5450,2023,26,4412,753,273,5438,0.05020228025009194,0.8113276940051489,0.1384700257447591,273,5165
2023/24,2,35 and over,1850,2023,26,1483,286,79,1848,0.04274891774891775,0.8024891774891775,0.15476190476190477,79,1769
2023/24,2,Under 25,1598,2023,26,1303,189,104,1596,0.06516290726817042,0.8164160401002506,0.11842105263157894,104,1492
2023/24,3,25-34,5010,2023,26,4022,761,223,5006,0.044546544147023574,0.8034358769476628,0.15201757890531362,223,4783
2023/24,3,35 and over,1956,2023,26,1585,296,74,1955,0.037851662404092073,0.8107416879795396,0.1514066496163683,74,1881
2023/24,3,Under 25,887,2023,26,733,109,44,886,0.04966139954853273,0.827313769751693,0.12302483069977427,44,842
2023/24,4,25-34,5840,2023,26,4729,888,216,5833,0.0370306874678553,0.8107320418309618,0.15223727070118293,216,5617
2023/24,4,35 and over,2517,2023,26,1989,431,96,2516,0.03815580286168521,0.7905405405405406,0.17130365659777425,96,2420
2023/24,4,Under 25,677,2023,26,581,68,27,676,0.03994082840236687,0.8594674556213018,0.10059171597633136,27,649
2023/24,5,25-34,4561,2023,26,3729,653,176,4558,0.03861342694164107,0.8181219833260202,0.14326458973233874,176,4382
2023/24,5,35 and over,2593,2023,26,2057,471,61,2589,0.023561220548474315,0.7945152568559289,0.18192352259559674,61,2528
2023/24,5,Under 25,314,2023,26,253,44,17,314,0.054140127388535034,0.8057324840764332,0.14012738853503184,17,297
