financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
2000/01,1,Under 25,5565,2000,3,4446,441,667,5554,0.1200936262153403,0.8005041411595246,0.07940223262513504,667,4887
2000/01,2,25-34,5643,2000,3,4352,769,513,5634,0.09105431309904154,0.7724529641462549,0.1364927227547036,513,5121
2000/01,2,35 and over,1215,2000,3,899,195,117,1211,0.09661436829066887,0.7423616845582164,0.1610239471511148,117,1094
2000/01,2,Under 25,3413,2000,3,2722,306,368,3396,0.10836277974087162,0.8015312131919906,0.09010600706713781,368,3028
2000/01,3,25-34,5665,2000,3,4543,715,398,5656,0.07036775106082037,0.8032178217821783,0.1264144271570014,398,5258
2000/01,3,35 and over,1451,2000,3,1105,238,107,1450,0.07379310344827586,0.7620689655172413,0.16413793103448276,107,1343
2000/01,3,Under 25,2172,2000,3,1730,202,236,2168,0.1088560885608856,0.7979704797047971,0.09317343173431734,236,1932
2000/01,4,25-34,6043,2000,3,4732,928,372,6032,0.0616710875331565,0.7844827586206896,0.15384615384615385,372,5660
2000/01,4,35 and over,1956,2000,3,1498,356,96,1950,0.04923076923076923,0.7682051282051282,0.18256410256410258,96,1854
2000/01,4,Under 25,1370,2000,3,1110,141,116,1367,0.08485735186539868,0.8119970738844184,0.10314557425018288,116,1251
2000/01,5,25-34,6344,2000,3,5092,909,327,6328,0.051675094816687736,0.804677623261694,0.14364728192161821,327,6001
2000/01,5,35 and over,2403,2000,3,1872,393,138,2403,0.05742821473158552,0.7790262172284644,0.16354556803995007,138,2265
2000/01,5,Under 25,807,2000,3,634,92,79,805,0.09813664596273292,0.7875776397515528,0.11428571428571428,79,726
2001/02,1,25-34,5463,2001,4,4221,577,652,5450,0.11963302752293578,0.7744954128440367,0.10587155963302752,652,4798
2001/02,1,35 and over,1246,2001,4,903,154,183,1240,0.14758064516129032,0.728225806451613,0.12419354838709677,183,1057
2001/02,1,Under 25,5292,2001,4,4200,403,671,5274,0.12722791050436102,0.7963594994311718,0.0764125900644672,671,4603
2001/02,2,25-34,5201,2001,4,4076,632,476,5184,0.09182098765432099,0.7862654320987654,0.12191358024691358,476,4708
2001/02,2,35 and over,1258,2001,4,968,174,116,1258,0.09220985691573927,0.7694753577106518,0.1383147853736089,116,1142
2001/02,2,Under 25,3213,2001,4,2572,260,370,3202,0.1155527795128045,0.8032479700187383,0.08119925046845722,370,2832
2001/02,3,25-34,5485,2001,4,4456,648,374,5478,0.06827309236947791,0.8134355604235123,0.11829134720700986,374,5104
2001/02,3,35 and over,1423,2001,4,1087,250,85,1422,0.05977496483825598,0.7644163150492265,0.17580872011251758,85,1337
2001/02,3,Under 25,2162,2001,4,1752,210,196,2158,0.09082483781278962,0.8118628359592215,0.09731232622798888,196,1962
2001/02,4,25-34,6046,2001,4,4720,920,399,6039,0.06607054148037754,0.7815863553568472,0.1523431031627753,399,5640
2001/02,4,35 and over,1945,2001,4,1506,289,149,1944,0.07664609053497942,0.7746913580246914,0.14866255144032922,149,1795
2001/02,4,Under 25,1399,2001,4,1138,133,126,1397,0.0901932712956335,0.8146027201145312,0.09520400858983537,126,1271
2001/02,5,25-34,5899,2001,4,4733,856,306,5895,0.051908396946564885,0.8028837998303647,0.1452078032230704,306,5589
2001/02,5,35 and over,2445,2001,4,1899,415,127,2441,0.05202785743547726,0.7779598525194592,0.1700122900450635,127,2314
2001/02,5,Under 25,806,2001,4,651,74,78,803,0.09713574097135741,0.8107098381070984,0.0921544209215442,78,725
2002/03,1,25-34,5195,2002,5,4034,520,623,5177,0.12033996523082867,0.7792157620243384,0.10044427274483292,623,4554
2002/03,1,35 and over,1183,2002,5,900,151,130,1181,0.1100762066045724,0.7620660457239627,0.12785774767146485,130,1051
2002/03,1,Under 25,5404,2002,5,4294,403,696,5393,0.12905618394214724,0.7962173187465232,0.0747264973113295,696,4697
2002/03,2,25-34,5238,2002,5,4153,605,472,5230,0.09024856596558317,0.7940726577437859,0.11567877629063097,472,4758
2002/03,2,35 and over,1305,2002,5,993,230,81,1304,0.062116564417177916,0.7615030674846626,0.17638036809815952,81,1223
2002/03,2,Under 25,3371,2002,5,2718,284,361,3363,0.10734463276836158,0.808206958073149,0.08444840915848945,361,3002
2002/03,2,Unknown,2,2002,5,2,0,0,2,0,1,0,0,2
2002/03,3,25-34,5150,2002,5,4154,644,342,5140,0.06653696498054475,0.808171206225681,0.12529182879377432,342,4798
2002/03,3,35 and over,1676,2002,5,1251,295,128,1674,0.07646356033452807,0.7473118279569892,0.17622461170848266,128,1546
2002/03,3,Under 25,2224,2002,5,1800,211,210,2221,0.09455200360198109,0.8104457451598379,0.095002251238181,210,2011
2002/03,4,25-34,5808,2002,5,4613,786,400,5799,0.06897740989825832,0.7954819796516641,0.1355406104500776,400,5399
2002/03,4,35 and over,1985,2002,5,1533,335,114,1982,0.05751765893037336,0.7734611503531786,0.16902119071644803,114,1868
2002/03,4,Under 25,1391,2002,5,1123,137,124,1384,0.08959537572254335,0.8114161849710982,0.09898843930635838,124,1260
2002/03,4,Unknown,1,2002,5,1,0,0,1,0,1,0,0,1
2002/03,5,25-34,5988,2002,5,4810,863,301,5974,0.05038500167392032,0.8051556745898896,0.14445932373619016,301,5673
2002/03,5,35 and over,2520,2002,5,1937,441,138,2516,0.054848966613672494,0.769872813990461,0.17527821939586646,138,2378
2002/03,5,Under 25,864,2002,5,715,75,67,857,0.07817969661610269,0.8343057176196033,0.08751458576429405,67,790
2002/03,5,Unknown,1,2002,5,1,0,0,1,0,1,0,0,1
2003/04,1,25-34,5419,2003,6,4206,600,594,5400,0.11,0.7788888888888889,0.1111111111111111,594,4806
2003/04,1,35 and over,1310,2003,6,973,182,146,1301,0.11222136817832437,0.7478862413528056,0.1398923904688701,146,1155
2003/04,1,Under 25,5534,2003,6,4500,389,630,5519,0.11415111433230658,0.8153651023736184,0.07048378329407501,630,4889
2003/04,2,25-34,5147,2003,6,4148,542,442,5132,0.08612626656274357,0.8082618862042089,0.10561184723304755,442,4690
2003/04,2,35 and over,1487,2003,6,1123,215,139,1477,0.0941096817874069,0.7603249830737983,0.14556533513879485,139,1338
2003/04,2,Under 25,3366,2003,6,2647,289,421,3357,0.12540959189752757,0.7885016383675901,0.08608876973488233,421,2936
2003/04,3,25-34,5498,2003,6,4356,773,348,5477,0.06353843344896841,0.795325908343984,0.14113565820704765,348,5129
2003/04,3,35 and over,1779,2003,6,1382,268,128,1778,0.0719910011248594,0.7772778402699663,0.15073115860517436,128,1650
2003/04,3,Under 25,2252,2003,6,1786,187,271,2244,0.12076648841354724,0.7959001782531194,0.08333333333333333,271,1973
2003/04,4,25-34,5848,2003,6,4689,776,370,5835,0.06341045415595545,0.803598971722365,0.13299057412167953,370,5465
2003/04,4,35 and over,2250,2003,6,1681,384,179,2244,0.07976827094474154,0.7491087344028521,0.1711229946524064,179,2065
