"FinancialYear","SIMDQuintile","AgeGroup","BirthweightForGestationalAge","Livebirths","Total","year"
"2013/14",2,"Under 25","Large",266,3059,2013
"2013/14",2,"Under 25","Small",284,3059,2013
"2013/14",2,"Under 25","Unknown",20,3059,2013
"2013/14",3,"25-34","Appropriate",4932,6240,2013
"2013/14",3,"25-34","Large",936,6240,2013
"2013/14",3,"25-34","Small",349,6240,2013
"2013/14",3,"25-34","Unknown",23,6240,2013
"2013/14",3,"35 and over","Appropriate",1581,2037,2013
"2013/14",3,"35 and over","Large",303,2037,2013
"2013/14",3,"35 and over","Small",141,2037,2013
"2013/14",3,"35 and over","Unknown",12,2037,2013
"2013/14",3,"Under 25","Appropriate",1637,2010,2013
"2013/14",3,"Under 25","Large",202,2010,2013
"2013/14",3,"Under 25","Small",161,2010,2013
"2013/14",3,"Under 25","Unknown",10,2010,2013
"2013/14",4,"25-34","Appropriate",4673,5848,2013
"2013/14",4,"25-34","Large",892,5848,2013
"2013/14",4,"25-34","Small",265,5848,2013
"2013/14",4,"25-34","Unknown",18,5848,2013
"2013/14",4,"35 and over","Appropriate",1867,2379,2013
"2013/14",4,"35 and over","Large",372,2379,2013
"2013/14",4,"35 and over","Small",139,2379,2013
"2013/14",4,"35 and over","Unknown",1,2379,2013
"2013/14",4,"Under 25","Appropriate",1106,1336,2013
"2013/14",4,"Under 25","Large",134,1336,2013
"2013/14",4,"Under 25","Small",87,1336,2013
"2013/14",4,"Under 25","Unknown",9,1336,2013
"2013/14",5,"25-34","Appropriate",4295,5273,2013
"2013/14",5,"25-34","Large",681,5273,2013
"2013/14",5,"25-34","Small",269,5273,2013
"2013/14",5,"25-34","Unknown",28,5273,2013
"2013/14",5,"35 and over","Appropriate",2106,2645,2013
"2013/14",5,"35 and over","Large",428,2645,2013
"2013/14",5,"35 and over","Small",103,2645,2013
"2013/14",5,"35 and over","Unknown",8,2645,2013
"2013/14",5,"Under 25","Appropriate",558,665,2013
"2013/14",5,"Under 25","Large",74,665,2013
"2013/14",5,"Under 25","Small",32,665,2013
"2013/14",5,"Under 25","Unknown",1,665,2013
"2013/14",NA,"25-34","Appropriate",136,171,2013
"2013/14",NA,"25-34","Large",32,171,2013
"2013/14",NA,"25-34","Small",2,171,2013
"2013/14",NA,"25-34","Unknown",1,171,2013
"2013/14",NA,"35 and over","Appropriate",45,64,2013
"2013/14",NA,"35 and over","Large",13,64,2013
"2013/14",NA,"35 and over","Small",5,64,2013
"2013/14",NA,"35 and over","Unknown",1,64,2013
"2013/14",NA,"Under 25","Appropriate",41,49,2013
"2013/14",NA,"Under 25","Large",3,49,2013
"2013/14",NA,"Under 25","Small",5,49,2013
"2014/15",1,"25-34","Appropriate",5975,7446,2014
"2014/15",1,"25-34","Large",926,7446,2014
"2014/15",1,"25-34","Small",499,7446,2014
"2014/15",1,"25-34","Unknown",46,7446,2014
"2014/15",1,"35 and over","Appropriate",1296,1666,2014
"2014/15",1,"35 and over","Large",210,1666,2014
"2014/15",1,"35 and over","Small",146,1666,2014
"2014/15",1,"35 and over","Unknown",14,1666,2014
"2014/15",1,"Under 25","Appropriate",3732,4642,2014
"2014/15",1,"Under 25","Large",458,4642,2014
"2014/15",1,"Under 25","Small",380,4642,2014
"2014/15",1,"Under 25","Unknown",72,4642,2014
"2014/15",2,"25-34","Appropriate",5092,6464,2014
"2014/15",2,"25-34","Large",934,6464,2014
"2014/15",2,"25-34","Small",390,6464,2014
"2014/15",2,"25-34","Unknown",48,6464,2014
"2014/15",2,"35 and over","Appropriate",1465,1829,2014
"2014/15",2,"35 and over","Large",246,1829,2014
"2014/15",2,"35 and over","Small",105,1829,2014
"2014/15",2,"35 and over","Unknown",13,1829,2014
"2014/15",2,"Under 25","Appropriate",2414,2972,2014
"2014/15",2,"Under 25","Large",300,2972,2014
"2014/15",2,"Under 25","Small",239,2972,2014
"2014/15",2,"Under 25","Unknown",19,2972,2014
"2014/15",3,"25-34","Appropriate",4758,5949,2014
"2014/15",3,"25-34","Large",853,5949,2014
"2014/15",3,"25-34","Small",304,5949,2014
"2014/15",3,"25-34","Unknown",34,5949,2014
"2014/15",3,"35 and over","Appropriate",1493,1944,2014
"2014/15",3,"35 and over","Large",307,1944,2014
"2014/15",3,"35 and over","Small",129,1944,2014
"2014/15",3,"35 and over","Unknown",15,1944,2014
"2014/15",3,"Under 25","Appropriate",1508,1889,2014
"2014/15",3,"Under 25","Large",210,1889,2014
"2014/15",3,"Under 25","Small",150,1889,2014
"2014/15",3,"Under 25","Unknown",21,1889,2014
"2014/15",4,"25-34","Appropriate",4934,6131,2014
"2014/15",4,"25-34","Large",863,6131,2014
"2014/15",4,"25-34","Small",291,6131,2014
"2014/15",4,"25-34","Unknown",43,6131,2014
"2014/15",4,"35 and over","Appropriate",1827,2360,2014
"2014/15",4,"35 and over","Large",407,2360,2014
"2014/15",4,"35 and over","Small",115,2360,2014
"2014/15",4,"35 and over","Unknown",11,2360,2014
"2014/15",4,"Under 25","Appropriate",1037,1261,2014
"2014/15",4,"Under 25","Large",128,1261,2014
"2014/15",4,"Under 25","Small",89,1261,2014
"2014/15",4,"Under 25","Unknown",7,1261,2014
"2014/15",5,"25-34","Appropriate",4631,5681,2014
"2014/15",5,"25-34","Large",749,5681,2014
"2014/15",5,"25-34","Small",265,5681,2014
"2014/15",5,"25-34","Unknown",36,5681,2014
"2014/15",5,"35 and over","Appropriate",2274,2883,2014
"2014/15",5,"35 and over","Large",475,2883,2014
"2014/15",5,"35 and over","Small",119,2883,2014
"2014/15",5,"35 and over","Unknown",15,2883,2014
"2014/15",5,"Under 25","Appropriate",474,577,2014
"2014/15",5,"Under 25","Large",75,577,2014
"2014/15",5,"Under 25","Small",25,577,2014
"2014/15",5,"Under 25","Unknown",3,577,2014
"2014/15",NA,"25-34","Appropriate",83,100,2014
"2014/15",NA,"25-34","Large",13,100,2014
"2014/15",NA,"25-34","Small",4,100,2014
"2014/15",NA,"35 and over","Appropriate",14,15,2014
"2014/15",NA,"35 and over","Large",1,15,2014
"2014/15",NA,"Under 25","Appropriate",29,35,2014
"2014/15",NA,"Under 25","Large",3,35,2014
"2014/15",NA,"Under 25","Small",3,35,2014
"2015/16",1,"25-34","Appropriate",5768,7285,2015
"2015/16",1,"25-34","Large",932,7285,2015
"2015/16",1,"25-34","Small",522,7285,2015
"2015/16",1,"25-34","Unknown",63,7285,2015
"2015/16",1,"35 and over","Appropriate",1417,1816,2015
"2015/16",1,"35 and over","Large",256,1816,2015
"2015/16",1,"35 and over","Small",123,1816,2015
"2015/16",1,"35 and over","Unknown",20,1816,2015
"2015/16",1,"Under 25","Appropriate",3423,4271,2015
"2015/16",1,"Under 25","Large",455,4271,2015
"2015/16",1,"Under 25","Small",357,4271,2015
"2015/16",1,"Under 25","Unknown",36,4271,2015
"2015/16",2,"25-34","Appropriate",5533,6855,2015
"2015/16",2,"25-34","Large",916,6855,2015
"2015/16",2,"25-34","Small",364,6855,2015
"2015/16",2,"25-34","Unknown",42,6855,2015
"2015/16",2,"35 and over","Appropriate",1340,1762,2015
"2015/16",2,"35 and over","Large",288,1762,2015
"2015/16",2,"35 and over","Small",122,1762,2015
"2015/16",2,"35 and over","Unknown",12,1762,2015
"2015/16",2,"Under 25","Appropriate",2381,2874,2015
"2015/16",2,"Under 25","Large",283,2874,2015
"2015/16",2,"Under 25","Small",193,2874,2015
"2015/16",2,"Under 25","Unknown",17,2874,2015
"2015/16",3,"25-34","Appropriate",4537,5652,2015
"2015/16",3,"25-34","Large",800,5652,2015
"2015/16",3,"25-34","Small",280,5652,2015
"2015/16",3,"25-34","Unknown",35,5652,2015
"2015/16",3,"35 and over","Appropriate",1545,1958,2015
"2015/16",3,"35 and over","Large",311,1958,2015
"2015/16",3,"35 and over","Small",90,1958,2015
"2015/16",3,"35 and over","Unknown",12,1958,2015
"2015/16",3,"Under 25","Appropriate",1404,1727,2015
"2015/16",3,"Under 25","Large",171,1727,2015
"2015/16",3,"Under 25","Small",135,1727,2015
"2015/16",3,"Under 25","Unknown",17,1727,2015
"2015/16",4,"25-34","Appropriate",4705,5874,2015
"2015/16",4,"25-34","Large",882,5874,2015
"2015/16",4,"25-34","Small",258,5874,2015
"2015/16",4,"25-34","Unknown",29,5874,2015
"2015/16",4,"35 and over","Appropriate",1934,2457,2015
"2015/16",4,"35 and over","Large",408,2457,2015
"2015/16",4,"35 and over","Small",104,2457,2015
"2015/16",4,"35 and over","Unknown",11,2457,2015
"2015/16",4,"Under 25","Appropriate",965,1204,2015
"2015/16",4,"Under 25","Large",116,1204,2015
"2015/16",4,"Under 25","Small",116,1204,2015
"2015/16",4,"Under 25","Unknown",7,1204,2015
"2015/16",5,"25-34","Appropriate",4539,5604,2015
"2015/16",5,"25-34","Large",809,5604,2015
"2015/16",5,"25-34","Small",223,5604,2015
"2015/16",5,"25-34","Unknown",33,5604,2015
"2015/16",5,"35 and over","Appropriate",2310,2873,2015
"2015/16",5,"35 and over","Large",432,2873,2015
"2015/16",5,"35 and over","Small",125,2873,2015
"2015/16",5,"35 and over","Unknown",6,2873,2015
"2015/16",5,"Under 25","Appropriate",494,614,2015
"2015/16",5,"Under 25","Large",68,614,2015
"2015/16",5,"Under 25","Small",47,614,2015
"2015/16",5,"Under 25","Unknown",5,614,2015
"2015/16",NA,"25-34","Appropriate",54,78,2015
"2015/16",NA,"25-34","Large",23,78,2015
"2015/16",NA,"25-34","Unknown",1,78,2015
"2015/16",NA,"35 and over","Appropriate",20,26,2015
"2015/16",NA,"35 and over","Large",5,26,2015
"2015/16",NA,"35 and over","Small",1,26,2015
"2015/16",NA,"Under 25","Appropriate",26,31,2015
"2015/16",NA,"Under 25","Large",4,31,2015
"2015/16",NA,"Under 25","Small",1,31,2015
"2016/17",1,"25-34","Appropriate",5869,7393,2016
"2016/17",1,"25-34","Large",864,7393,2016
"2016/17",1,"25-34","Small",538,7393,2016
"2016/17",1,"25-34","Unknown",122,7393,2016
"2016/17",1,"35 and over","Appropriate",1387,1805,2016
"2016/17",1,"35 and over","Large",259,1805,2016
"2016/17",1,"35 and over","Small",122,1805,2016
"2016/17",1,"35 and over","Unknown",37,1805,2016
"2016/17",1,"Under 25","Appropriate",3360,4111,2016
"2016/17",1,"Under 25","Large",345,4111,2016
"2016/17",1,"Under 25","Small",322,4111,2016
"2016/17",1,"Under 25","Unknown",84,4111,2016
"2016/17",2,"25-34","Appropriate",5192,6499,2016
"2016/17",2,"25-34","Large",876,6499,2016
"2016/17",2,"25-34","Small",375,6499,2016
"2016/17",2,"25-34","Unknown",56,6499,2016
"2016/17",2,"35 and over","Appropriate",1454,1883,2016
"2016/17",2,"35 and over","Large",287,1883,2016
"2016/17",2,"35 and over","Small",105,1883,2016
"2016/17",2,"35 and over","Unknown",37,1883,2016
"2016/17",2,"Under 25","Appropriate",2071,2542,2016
"2016/17",2,"Under 25","Large",234,2542,2016
"2016/17",2,"Under 25","Small",203,2542,2016
"2016/17",2,"Under 25","Unknown",34,2542,2016
"2016/17",3,"25-34","Appropriate",4658,5905,2016
"2016/17",3,"25-34","Large",939,5905,2016
"2016/17",3,"25-34","Small",254,5905,2016
"2016/17",3,"25-34","Unknown",54,5905,2016
"2016/17",3,"35 and over","Appropriate",1569,2015,2016
"2016/17",3,"35 and over","Large",325,2015,2016
"2016/17",3,"35 and over","Small",94,2015,2016
"2016/17",3,"35 and over","Unknown",27,2015,2016
"2016/17",3,"Under 25","Appropriate",1359,1655,2016
"2016/17",3,"Under 25","Large",191,1655,2016
"2016/17",3,"Under 25","Small",86,1655,2016
"2016/17",3,"Under 25","Unknown",19,1655,2016
"2016/17",4,"25-34","Appropriate",4704,5987,2016
"2016/17",4,"25-34","Large",990,5987,2016
"2016/17",4,"25-34","Small",244,5987,2016
"2016/17",4,"25-34","Unknown",49,5987,2016
"2016/17",4,"35 and over","Appropriate",1985,2547,2016
"2016/17",4,"35 and over","Large",425,2547,2016
"2016/17",4,"35 and over","Small",106,2547,2016
"2016/17",4,"35 and over","Unknown",31,2547,2016
"2016/17",4,"Under 25","Appropriate",849,1064,2016
"2016/17",4,"Under 25","Large",141,1064,2016
"2016/17",4,"Under 25","Small",66,1064,2016
"2016/17",4,"Under 25","Unknown",8,1064,2016
"2016/17",5,"25-34","Appropriate",4192,5308,2016
"2016/17",5,"25-34","Large",828,5308,2016
"2016/17",5,"25-34","Small",245,5308,2016
"2016/17",5,"25-34","Unknown",43,5308,2016
"2016/17",5,"35 and over","Appropriate",2305,2895,2016
"2016/17",5,"35 and over","Large",451,2895,2016
"2016/17",5,"35 and over","Small",120,2895,2016
"2016/17",5,"35 and over","Unknown",19,2895,2016
"2016/17",5,"Under 25","Appropriate",470,581,2016
"2016/17",5,"Under 25","Large",62,581,2016
"2016/17",5,"Under 25","Small",43,581,2016
"2016/17",5,"Under 25","Unknown",6,581,2016
"2016/17",NA,"25-34","Appropriate",65,76,2016
"2016/17",NA,"25-34","Large",6,76,2016
"2016/17",NA,"25-34","Small",3,76,2016
"2016/17",NA,"25-34","Unknown",2,76,2016
"2016/17",NA,"35 and over","Appropriate",18,21,2016
"2016/17",NA,"35 and over","Large",2,21,2016
"2016/17",NA,"35 and over","Small",1,21,2016
"2016/17",NA,"Under 25","Appropriate",19,25,2016
"2016/17",NA,"Under 25","Large",5,25,2016
"2016/17",NA,"Under 25","Small",1,25,2016
"2017/18",1,"25-34","Appropriate",5384,6932,2017
"2017/18",1,"25-34","Large",926,6932,2017
"2017/18",1,"25-34","Small",484,6932,2017
"2017/18",1,"25-34","Unknown",138,6932,2017
"2017/18",1,"35 and over","Appropriate",1408,1854,2017
"2017/18",1,"35 and over","Large",277,1854,2017
"2017/18",1,"35 and over","Small",130,1854,2017
"2017/18",1,"35 and over","Unknown",39,1854,2017
"2017/18",1,"Under 25","Appropriate",3158,3865,2017
"2017/18",1,"Under 25","Large",347,3865,2017
"2017/18",1,"Under 25","Small",303,3865,2017
"2017/18",1,"Under 25","Unknown",57,3865,2017
"2017/18",2,"25-34","Appropriate",4997,6327,2017
"2017/18",2,"25-34","Large",907,6327,2017
"2017/18",2,"25-34","Small",348,6327,2017
"2017/18",2,"25-34","Unknown",75,6327,2017
"2017/18",2,"35 and over","Appropriate",1460,1860,2017
"2017/18",2,"35 and over","Large",265,1860,2017
"2017/18",2,"35 and over","Small",112,1860,2017
"2017/18",2,"35 and over","Unknown",23,1860,2017
"2017/18",2,"Under 25","Appropriate",2028,2480,2017
"2017/18",2,"Under 25","Large",241,2480,2017
"2017/18",2,"Under 25","Small",175,2480,2017
"2017/18",2,"Under 25","Unknown",36,2480,2017
"2017/18",3,"25-34","Appropriate",4481,5594,2017
"2017/18",3,"25-34","Large",766,5594,2017
"2017/18",3,"25-34","Small",276,5594,2017
"2017/18",3,"25-34","Unknown",71,5594,2017
"2017/18",3,"35 and over","Appropriate",1505,1974,2017
"2017/18",3,"35 and over","Large",359,1974,2017
"2017/18",3,"35 and over","Small",79,1974,2017
"2017/18",3,"35 and over","Unknown",31,1974,2017
"2017/18",3,"Under 25","Appropriate",1174,1467,2017
"2017/18",3,"Under 25","Large",177,1467,2017
"2017/18",3,"Under 25","Small",105,1467,2017
"2017/18",3,"Under 25","Unknown",11,1467,2017
"2017/18",4,"25-34","Appropriate",4821,6037,2017
"2017/18",4,"25-34","Large",905,6037,2017
"2017/18",4,"25-34","Small",254,6037,2017
"2017/18",4,"25-34","Unknown",57,6037,2017
"2017/18",4,"35 and over","Appropriate",1956,2537,2017
"2017/18",4,"35 and over","Large",427,2537,2017
"2017/18",4,"35 and over","Small",139,2537,2017
"2017/18",4,"35 and over","Unknown",15,2537,2017
"2017/18",4,"Under 25","Appropriate",801,962,2017
"2017/18",4,"Under 25","Large",91,962,2017
"2017/18",4,"Under 25","Small",56,962,2017
"2017/18",4,"Under 25","Unknown",14,962,2017
"2017/18",5,"25-34","Appropriate",4102,5052,2017
"2017/18",5,"25-34","Large",714,5052,2017
"2017/18",5,"25-34","Small",192,5052,2017
"2017/18",5,"25-34","Unknown",44,5052,2017
"2017/18",5,"35 and over","Appropriate",2306,2914,2017
"2017/18",5,"35 and over","Large",468,2914,2017
"2017/18",5,"35 and over","Small",119,2914,2017
"2017/18",5,"35 and over","Unknown",21,2914,2017
"2017/18",5,"Under 25","Appropriate",388,470,2017
"2017/18",5,"Under 25","Large",58,470,2017
"2017/18",5,"Under 25","Small",22,470,2017
"2017/18",5,"Under 25","Unknown",2,470,2017
"2017/18",NA,"25-34","Appropriate",46,54,2017
"2017/18",NA,"25-34","Large",8,54,2017
"2017/18",NA,"35 and over","Appropriate",28,33,2017
"2017/18",NA,"35 and over","Large",2,33,2017
"2017/18",NA,"35 and over","Small",2,33,2017
"2017/18",NA,"35 and over","Unknown",1,33,2017
"2017/18",NA,"Under 25","Appropriate",12,16,2017
"2017/18",NA,"Under 25","Large",2,16,2017
"2017/18",NA,"Under 25","Small",2,16,2017
"2018/19",1,"25-34","Appropriate",5465,6887,2018
"2018/19",1,"25-34","Large",941,6887,2018
"2018/19",1,"25-34","Small",457,6887,2018
"2018/19",1,"25-34","Unknown",24,6887,2018
"2018/19",1,"35 and over","Appropriate",1431,1843,2018
"2018/19",1,"35 and over","Large",280,1843,2018
"2018/19",1,"35 and over","Small",127,1843,2018
"2018/19",1,"35 and over","Unknown",5,1843,2018
"2018/19",1,"Under 25","Appropriate",2856,3367,2018
"2018/19",1,"Under 25","Large",296,3367,2018
"2018/19",1,"Under 25","Small",202,3367,2018
"2018/19",1,"Under 25","Unknown",13,3367,2018
"2018/19",2,"25-34","Appropriate",5040,6216,2018
"2018/19",2,"25-34","Large",856,6216,2018
"2018/19",2,"25-34","Small",289,6216,2018
"2018/19",2,"25-34","Unknown",31,6216,2018
"2018/19",2,"35 and over","Appropriate",1443,1877,2018
"2018/19",2,"35 and over","Large",308,1877,2018
"2018/19",2,"35 and over","Small",121,1877,2018
"2018/19",2,"35 and over","Unknown",5,1877,2018
"2018/19",2,"Under 25","Appropriate",1982,2369,2018
"2018/19",2,"Under 25","Large",232,2369,2018
"2018/19",2,"Under 25","Small",142,2369,2018
"2018/19",2,"Under 25","Unknown",13,2369,2018
"2018/19",3,"25-34","Appropriate",4405,5450,2018
"2018/19",3,"25-34","Large",806,5450,2018
"2018/19",3,"25-34","Small",223,5450,2018
"2018/19",3,"25-34","Unknown",16,5450,2018
"2018/19",3,"35 and over","Appropriate",1581,1970,2018
"2018/19",3,"35 and over","Large",297,1970,2018
"2018/19",3,"35 and over","Small",85,1970,2018
"2018/19",3,"35 and over","Unknown",7,1970,2018
"2018/19",3,"Under 25","Appropriate",1188,1392,2018
"2018/19",3,"Under 25","Large",125,1392,2018
"2018/19",3,"Under 25","Small",70,1392,2018
"2018/19",3,"Under 25","Unknown",9,1392,2018
"2018/19",4,"25-34","Appropriate",4862,6041,2018
"2018/19",4,"25-34","Large",935,6041,2018
"2018/19",4,"25-34","Small",236,6041,2018
"2018/19",4,"25-34","Unknown",8,6041,2018
"2018/19",4,"35 and over","Appropriate",2036,2623,2018
"2018/19",4,"35 and over","Large",464,2623,2018
"2018/19",4,"35 and over","Small",113,2623,2018
"2018/19",4,"35 and over","Unknown",10,2623,2018
"2018/19",4,"Under 25","Appropriate",727,904,2018
"2018/19",4,"Under 25","Large",124,904,2018
"2018/19",4,"Under 25","Small",49,904,2018
"2018/19",4,"Under 25","Unknown",4,904,2018
"2018/19",5,"25-34","Appropriate",4086,5022,2018
"2018/19",5,"25-34","Large",750,5022,2018
"2018/19",5,"25-34","Small",174,5022,2018
"2018/19",5,"25-34","Unknown",12,5022,2018
"2018/19",5,"35 and over","Appropriate",2341,2904,2018
"2018/19",5,"35 and over","Large",466,2904,2018
"2018/19",5,"35 and over","Small",87,2904,2018
"2018/19",5,"35 and over","Unknown",10,2904,2018
"2018/19",5,"Under 25","Appropriate",433,502,2018
"2018/19",5,"Under 25","Large",45,502,2018
"2018/19",5,"Under 25","Small",24,502,2018
"2018/19",NA,"25-34","Appropriate",56,66,2018
"2018/19",NA,"25-34","Large",2,66,2018
"2018/19",NA,"25-34","Small",7,66,2018
"2018/19",NA,"25-34","Unknown",1,66,2018
"2018/19",NA,"35 and over","Appropriate",14,15,2018
"2018/19",NA,"35 and over","Large",1,15,2018
"2018/19",NA,"Under 25","Appropriate",15,18,2018
"2018/19",NA,"Under 25","Large",2,18,2018
"2018/19",NA,"Under 25","Small",1,18,2018
"2019/20",1,"25-34","Appropriate",5269,6501,2019
"2019/20",1,"25-34","Large",819,6501,2019
"2019/20",1,"25-34","Small",401,6501,2019
"2019/20",1,"25-34","Unknown",12,6501,2019
"2019/20",1,"35 and over","Appropriate",1436,1833,2019
"2019/20",1,"35 and over","Large",264,1833,2019
"2019/20",1,"35 and over","Small",119,1833,2019
"2019/20",1,"35 and over","Unknown",14,1833,2019
"2019/20",1,"Under 25","Appropriate",2721,3254,2019
"2019/20",1,"Under 25","Large",294,3254,2019
"2019/20",1,"Under 25","Small",225,3254,2019
"2019/20",1,"Under 25","Unknown",14,3254,2019
"2019/20",2,"25-34","Appropriate",5033,6165,2019
"2019/20",2,"25-34","Large",776,6165,2019
"2019/20",2,"25-34","Small",344,6165,2019
"2019/20",2,"25-34","Unknown",12,6165,2019
"2019/20",2,"35 and over","Appropriate",1582,1961,2019
"2019/20",2,"35 and over","Large",293,1961,2019
"2019/20",2,"35 and over","Small",78,1961,2019
"2019/20",2,"35 and over","Unknown",8,1961,2019
"2019/20",2,"Under 25","Appropriate",1747,2128,2019
"2019/20",2,"Under 25","Large",241,2128,2019
"2019/20",2,"Under 25","Small",132,2128,2019
"2019/20",2,"Under 25","Unknown",8,2128,2019
"2019/20",3,"25-34","Appropriate",4247,5321,2019
"2019/20",3,"25-34","Large",813,5321,2019
"2019/20",3,"25-34","Small",253,5321,2019
"2019/20",3,"25-34","Unknown",8,5321,2019
"2019/20",3,"35 and over","Appropriate",1525,1921,2019
"2019/20",3,"35 and over","Large",315,1921,2019
"2019/20",3,"35 and over","Small",77,1921,2019
"2019/20",3,"35 and over","Unknown",4,1921,2019
"2019/20",3,"Under 25","Appropriate",1070,1281,2019
"2019/20",3,"Under 25","Large",146,1281,2019
"2019/20",3,"Under 25","Small",62,1281,2019
"2019/20",3,"Under 25","Unknown",3,1281,2019
"2019/20",4,"25-34","Appropriate",4502,5651,2019
"2019/20",4,"25-34","Large",914,5651,2019
"2019/20",4,"25-34","Small",230,5651,2019
"2019/20",4,"25-34","Unknown",5,5651,2019
"2019/20",4,"35 and over","Appropriate",1905,2456,2019
"2019/20",4,"35 and over","Large",425,2456,2019
"2019/20",4,"35 and over","Small",118,2456,2019
"2019/20",4,"35 and over","Unknown",8,2456,2019
"2019/20",4,"Under 25","Appropriate",727,878,2019
"2019/20",4,"Under 25","Large",100,878,2019
"2019/20",4,"Under 25","Small",50,878,2019
"2019/20",4,"Under 25","Unknown",1,878,2019
"2019/20",5,"25-34","Appropriate",3782,4644,2019
"2019/20",5,"25-34","Large",686,4644,2019
"2019/20",5,"25-34","Small",168,4644,2019
"2019/20",5,"25-34","Unknown",8,4644,2019
"2019/20",5,"35 and over","Appropriate",2149,2722,2019
"2019/20",5,"35 and over","Large",471,2722,2019
"2019/20",5,"35 and over","Small",94,2722,2019
"2019/20",5,"35 and over","Unknown",8,2722,2019
"2019/20",5,"Under 25","Appropriate",319,385,2019
"2019/20",5,"Under 25","Large",48,385,2019
"2019/20",5,"Under 25","Small",18,385,2019
"2019/20",NA,"25-34","Appropriate",55,63,2019
"2019/20",NA,"25-34","Large",3,63,2019
"2019/20",NA,"25-34","Small",4,63,2019
"2019/20",NA,"25-34","Unknown",1,63,2019
"2019/20",NA,"35 and over","Appropriate",20,25,2019
"2019/20",NA,"35 and over","Large",2,25,2019
"2019/20",NA,"35 and over","Small",3,25,2019
"2019/20",NA,"Under 25","Appropriate",19,22,2019
"2019/20",NA,"Under 25","Large",2,22,2019
"2019/20",NA,"Under 25","Small",1,22,2019
"2020/21",1,"25-34","Appropriate",4987,6241,2020
"2020/21",1,"25-34","Large",877,6241,2020
"2020/21",1,"25-34","Small",366,6241,2020
"2020/21",1,"25-34","Unknown",11,6241,2020
"2020/21",1,"35 and over","Appropriate",1395,1749,2020
"2020/21",1,"35 and over","Large",242,1749,2020
"2020/21",1,"35 and over","Small",106,1749,2020
"2020/21",1,"35 and over","Unknown",6,1749,2020
"2020/21",1,"Under 25","Appropriate",2329,2853,2020
"2020/21",1,"Under 25","Large",317,2853,2020
"2020/21",1,"Under 25","Small",203,2853,2020
"2020/21",1,"Under 25","Unknown",4,2853,2020
"2020/21",2,"25-34","Appropriate",4384,5540,2020
"2020/21",2,"25-34","Large",875,5540,2020
"2020/21",2,"25-34","Small",270,5540,2020
"2020/21",2,"25-34","Unknown",11,5540,2020
"2020/21",2,"35 and over","Appropriate",1377,1756,2020
"2020/21",2,"35 and over","Large",286,1756,2020
"2020/21",2,"35 and over","Small",90,1756,2020
"2020/21",2,"35 and over","Unknown",3,1756,2020
"2020/21",2,"Under 25","Appropriate",1534,1887,2020
"2020/21",2,"Under 25","Large",229,1887,2020
"2020/21",2,"Under 25","Small",119,1887,2020
"2020/21",2,"Under 25","Unknown",5,1887,2020
"2020/21",2,"Unknown","Appropriate",1,1,2020
"2020/21",3,"25-34","Appropriate",4049,5077,2020
"2020/21",3,"25-34","Large",775,5077,2020
"2020/21",3,"25-34","Small",243,5077,2020
"2020/21",3,"25-34","Unknown",10,5077,2020
"2020/21",3,"35 and over","Appropriate",1458,1887,2020
"2020/21",3,"35 and over","Large",356,1887,2020
"2020/21",3,"35 and over","Small",66,1887,2020
"2020/21",3,"35 and over","Unknown",7,1887,2020
"2020/21",3,"Under 25","Appropriate",887,1102,2020
"2020/21",3,"Under 25","Large",137,1102,2020
"2020/21",3,"Under 25","Small",74,1102,2020
"2020/21",3,"Under 25","Unknown",4,1102,2020
"2020/21",4,"25-34","Appropriate",4619,5731,2020
"2020/21",4,"25-34","Large",881,5731,2020
"2020/21",4,"25-34","Small",225,5731,2020
"2020/21",4,"25-34","Unknown",6,5731,2020
"2020/21",4,"35 and over","Appropriate",1949,2453,2020
"2020/21",4,"35 and over","Large",410,2453,2020
"2020/21",4,"35 and over","Small",86,2453,2020
"2020/21",4,"35 and over","Unknown",8,2453,2020
"2020/21",4,"Under 25","Appropriate",580,721,2020
"2020/21",4,"Under 25","Large",98,721,2020
"2020/21",4,"Under 25","Small",42,721,2020
"2020/21",4,"Under 25","Unknown",1,721,2020
"2020/21",5,"25-34","Appropriate",3656,4572,2020
"2020/21",5,"25-34","Large",724,4572,2020
"2020/21",5,"25-34","Small",187,4572,2020
"2020/21",5,"25-34","Unknown",5,4572,2020
"2020/21",5,"35 and over","Appropriate",1958,2471,2020
"2020/21",5,"35 and over","Large",441,2471,2020
"2020/21",5,"35 and over","Small",68,2471,2020
"2020/21",5,"35 and over","Unknown",4,2471,2020
"2020/21",5,"Under 25","Appropriate",300,366,2020
"2020/21",5,"Under 25","Large",51,366,2020
"2020/21",5,"Under 25","Small",14,366,2020
"2020/21",5,"Under 25","Unknown",1,366,2020
"2020/21",5,"Unknown","Large",1,1,2020
"2020/21",NA,"25-34","Appropriate",50,62,2020
"2020/21",NA,"25-34","Large",10,62,2020
"2020/21",NA,"25-34","Small",2,62,2020
"2020/21",NA,"35 and over","Appropriate",8,14,2020
"2020/21",NA,"35 and over","Large",4,14,2020
"2020/21",NA,"35 and over","Small",1,14,2020
"2020/21",NA,"35 and over","Unknown",1,14,2020
"2020/21",NA,"Under 25","Appropriate",18,25,2020
"2020/21",NA,"Under 25","Large",6,25,2020
"2020/21",NA,"Under 25","Small",1,25,2020
"2021/22",1,"25-34","Appropriate",5036,6314,2021
